Item_Weight,Item_Visibility,Item_MRP,Item_Outlet_Sales,Outlet_Age,Outlet_Size_High,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Location_Type_Tier 1,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_Type_Drinks,Item_Type_Food,Item_Type_Non-Consumable,Item_Fat_Content_Low Fat,Item_Fat_Content_Non-Edible,Item_Fat_Content_Regular
6.3850000000000025,0.12311145300000001,36.9874,388.1614,28,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
15.25,0.026480953999999998,87.6198,2180.495,28,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
13.35,0.102511504,230.6352,3435.528,16,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
9.8,0.02681843,126.00200000000001,2150.534,26,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
13.6,0.117818348,192.9136,2527.3768,14,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
21.35,0.06910283099999999,259.9278,6768.5228,4,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
12.15,0.042277867000000004,126.5046,373.5138,26,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
6.42,0.08949892599999999,178.1002,358.2004,15,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
19.6,0.07048184085069421,153.3024,2428.8384,11,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
10.0,0.025879577,265.2226,5815.0972,11,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
15.85,0.121632721,60.622,2576.646,16,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
10.195,0.25539489600000004,196.8794,780.3176,28,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
7.39,0.067779712,143.8812,3134.5864,16,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
10.195,0.159803853,141.5154,850.8924,26,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
9.895,0.028696932,117.0492,810.9444,26,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
10.895,0.065041581,196.3794,3121.2704,6,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
12.15,0.028760012999999997,151.4708,4815.0656,6,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
7.905,0.010053105,249.0408,6258.52,4,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
9.195,0.048157338,106.1622,2117.244,11,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
8.365,0.071958197,38.0506,796.9626,14,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
15.1,0.17348130399999998,194.511,4910.275,16,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
5.94,0.061082177,180.0344,892.172,28,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
10.0,0.07048184085069421,246.9144,3185.1872,4,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
7.97,0.040071131,87.3514,1062.6168,11,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
6.215,0.012090074,38.2848,484.7024,28,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
15.5,0.15028599,51.0692,147.8076,28,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
17.5,0.026015518999999997,255.8356,2543.356,28,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
17.7,0.195068226,185.4266,184.4266,15,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
19.35,0.033082215,172.5738,4865.6664,9,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
13.65,0.078946455,186.024,1118.5439999999999,11,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
17.6,0.041700756,164.8526,2302.3364,11,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
8.645,0.14342264300000002,95.84100000000001,2027.361,16,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
15.6,0.10529607199999999,170.1764,3435.528,16,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
15.85,0.121531501,59.222,599.22,26,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
18.25,0.07048184085069421,164.7526,4604.6728,11,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
7.855,0.011324862,189.6188,2285.0256,6,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
7.825,0.186357148,254.3698,5580.7356,14,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
8.39,0.024205661,114.0176,2290.3520000000008,16,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
12.85,0.033230816,172.3422,1207.0954,14,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
13.35,0.113720344,89.9804,643.1628,28,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
19.0,0.11255650699999999,104.9622,1587.933,6,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
5.905,0.07048184085069421,222.5456,5305.0944,11,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
7.76,0.059352240999999986,101.87,1697.79,16,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
11.8,0.014087057,180.3344,1427.4752,16,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
16.75,0.045230944,187.9556,4693.89,4,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
18.85,0.293417759,194.6136,583.2408,28,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
12.6,0.031382044,171.3764,3091.9752,28,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
15.5,0.12639886,177.0028,2479.4392,6,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
6.055,0.025403897999999998,160.99200000000005,2716.4640000000004,9,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
20.2,0.039057677,155.963,3285.723,28,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
6.305,0.123115764,95.6436,661.8052,16,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
20.85,0.039624006,117.2808,1523.3504,14,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
20.75,0.040421193,122.17299999999999,369.519,15,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
8.895,0.10527411099999999,39.9138,690.4346,14,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
19.6,0.033970195,55.1614,1381.535,11,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
19.7,0.053212652,57.893,622.523,9,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
9.8,0.024378706,114.5492,1274.3412,9,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
7.93,0.009714595,120.0414,487.3656,28,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
12.15,0.131383762,246.046,1231.73,14,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
8.75,0.07461309,187.4556,3755.112,9,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
12.15,0.028459761,149.9708,4363.6532,28,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
8.75,0.07462720099999999,187.8556,1314.2892,16,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
13.3,0.063695084,151.0708,1805.6496,11,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
20.6,0.045797829000000005,178.5344,2854.9504,28,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
8.31,0.11585722300000001,179.1028,3896.2616,14,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
16.75,0.024832806000000002,38.7822,667.7974,26,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
19.75,0.034027909,212.0902,3185.853,4,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
17.1,0.046769599999999995,141.1838,2247.7408,26,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
10.5,0.11657670199999999,163.121,1794.3310000000001,26,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
6.635,0.07048184085069421,121.3098,2530.7058,11,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
9.395,0.278974075,225.372,679.1160000000001,28,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
14.15,0.035913805,41.4138,812.2760000000003,26,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
13.3,0.079806266,232.53,699.09,16,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
8.89,0.005505481,102.4016,2732.4432,6,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
6.69,0.064625342,176.937,176.437,28,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
6.195,0.071636937,121.7098,4097.3332,28,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
9.1,0.07048184085069421,173.2054,3151.8972,11,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
7.5,0.032677677999999995,239.0906,5942.265,14,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
16.85,0.160760054,192.4478,4843.695,6,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
7.485,0.06911065,109.0228,2542.0244,9,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
11.6,0.041177505,140.3154,2552.6772,6,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
11.65,0.040081193,227.0694,1141.847,4,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
13.0,0.035307322,47.5034,680.4476,6,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
12.65,0.063017847,159.0578,2085.9514,11,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
20.25,0.171938781,92.512,186.424,15,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
8.6,0.040197932,190.153,3036.048,9,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
12.6,0.049058014000000004,62.7194,866.8716,6,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
17.7,0.01161096,95.041,868.8689999999997,9,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
14.15,0.183507295,82.4276,1137.1864,16,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
19.25,0.102349519,52.7956,928.1252,6,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
8.88,0.08670898699999999,151.7682,762.341,26,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
20.5,0.032835147,40.2822,707.0796,11,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
12.0,0.033809913,180.5976,7968.2944,28,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
13.5,0.07266912,160.292,1438.128,16,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
12.15,0.144338493,224.4404,6976.2524,28,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
8.89,0.009163216,101.7016,101.2016,15,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
7.855,0.011307038,188.5188,952.0939999999999,4,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
7.235,0.076855628,116.0492,1969.4364,16,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
18.25,0.059956876,165.4526,5262.4832,28,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
6.92,0.038532062,60.5852,1314.2892,11,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
9.3,0.043209581,90.8172,535.3032,6,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
18.5,0.056816465,132.1284,263.6568,15,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
8.02,0.019866705,154.5972,1402.1748,9,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
9.195,0.048331717,105.1622,1693.7952,6,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
12.8,0.091221855,105.5938,2143.876,11,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
16.6,0.027622076000000002,177.6344,2676.5159999999996,14,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
14.0,0.07048184085069421,53.06399999999999,905.488,9,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
18.6,0.039355947,246.3802,7370.406,14,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
16.0,0.060836524,226.8404,6301.1312,9,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
17.6,0.082316506,160.692,1597.92,9,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
21.25,0.155350299,178.237,529.311,9,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
7.235,0.076841095,117.5492,1969.4364,9,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
14.6,0.151419185,50.3692,1034.6532,6,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
13.85,0.026001976,161.52100000000004,1794.3310000000001,4,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
13.65,0.073209447,197.6426,2768.3964,4,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
9.5,0.041683481,31.29,898.83,28,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
7.365,0.042560252,226.172,3169.208,16,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
18.35,0.014081156000000001,223.5746,3589.9936,4,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
5.465,0.07048184085069421,132.5626,262.3252,4,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
18.6,0.152918384,99.8358,1910.1802,6,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
13.85,0.030969273999999998,140.9154,1701.7848,6,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
14.0,0.060376775999999986,154.5656,2471.4496,26,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
14.0,0.04192285,54.763999999999996,1331.6,26,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
21.35,0.077367431,97.0094,1808.9786,28,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
5.905,0.045838211,222.5456,3315.684,4,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
7.27,0.071077939,114.2518,2618.5914,16,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
6.155,0.09465987099999999,214.55599999999998,2769.728,16,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
19.5,0.077608838,233.4958,5375.0034,6,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
15.2,0.021327477,216.8824,2838.9712,6,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
12.15,0.042485444000000004,125.0046,1743.0644,4,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
14.6,0.025578526,198.8084,5555.4352,28,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
12.6,0.048980800000000005,61.9194,619.194,4,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
14.5,0.019471688,164.821,2120.573,9,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
16.6,0.122918852,173.0738,3823.0236,6,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
11.8,0.057373797000000004,151.4366,1360.2294,26,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
13.1,0.044155597000000005,178.8318,3969.4996,26,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
17.7,0.291865402,115.1834,345.5502,15,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
17.85,0.07048184085069421,196.5794,585.2382,15,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
12.3,0.064750025,92.6804,1010.6844,11,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
11.8,0.098312421,81.4618,161.1236,15,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
9.395,0.191013663,42.1112,42.6112,28,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
11.1,0.176573035,157.4604,3010.7476,11,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
14.0,0.060134441,153.0656,6024.1584,28,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
11.3,0.007294651999999999,198.1426,988.7130000000001,11,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
10.0,0.128478462,117.944,239.688,28,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
5.75,0.075107656,112.8176,1374.2112,26,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
6.215,0.049381405999999996,226.8062,4739.8302,28,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
11.35,0.045165795999999994,100.0016,1012.0160000000001,4,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
11.1,0.09415375,165.7526,657.8104,28,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
14.0,0.028907832,130.431,778.9860000000001,14,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
19.75,0.018059621,179.766,2336.958,11,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
6.525,0.09043609400000001,85.0882,2233.0932,14,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
10.3,0.146399712,103.9648,1661.8368,14,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
5.78,0.07426435599999999,264.7568,4745.8224,14,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
11.85,0.050186725999999994,164.1526,3124.5994,11,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
16.35,0.020631654,50.1324,467.3916,4,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
17.6,0.01561108,182.5976,5070.7328,28,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
10.5,0.041395445,37.6164,540.6296,16,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
19.0,0.097313129,48.0718,992.7078,16,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
14.6,0.059582996,238.8538,6008.845,14,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
15.6,0.09866365199999999,62.9194,2105.2596,28,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
4.615,0.101338651,232.63,5359.69,28,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
18.75,0.052146455999999994,104.62799999999999,745.696,11,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
5.26,0.041764487,161.8868,3275.736,9,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
18.25,0.054344185999999996,140.2154,1701.7848,11,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
10.3,0.07836248400000001,177.937,6704.606,28,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
15.1,0.052339069,242.7512,4119.9704,16,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
15.5,0.042464962,81.5934,327.5736,15,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
13.65,0.06573288299999999,45.7402,780.9834,14,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
16.1,0.023625114,189.3846,3630.6074,11,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
5.175,0.051643608,107.3622,317.5866,28,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
12.85,0.165694219,39.7164,231.6984,15,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
9.5,0.041878397000000005,32.99,133.16,9,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
13.8,0.058091482,245.1802,5650.6446,9,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
5.78,0.07048184085069421,263.7568,2636.5679999999998,6,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
19.7,0.026903714,96.0726,1272.3438,11,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
14.65,0.07048184085069421,161.5552,324.9104,15,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
6.67,0.150554711,130.0626,131.1626,15,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
6.11,0.07048184085069421,131.2968,260.9936,15,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
13.65,0.13497562800000001,260.0936,260.9936,15,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
17.2,0.15616879,160.6578,3690.5294,26,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
6.32,0.07048184085069421,40.2822,1139.1838,9,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
4.88,0.133700752,52.9298,1995.4026,14,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
5.425,0.115119905,88.3514,1416.8224,6,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
15.85,0.11003099699999999,37.2506,265.6542,16,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
7.5,0.051038045,121.7072,3552.7088,6,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
12.65,0.062837968,161.5578,2406.867,26,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
9.06,0.017116983,211.956,213.05599999999998,28,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
20.75,0.024129332000000003,124.17299999999999,2956.152,26,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
8.93,0.049754975,152.134,153.134,28,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
9.0,0.07048184085069421,79.7644,1649.8524,9,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
16.7,0.101561568,181.9292,3101.2964,28,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
6.36,0.0059496440000000005,165.6526,4769.1254,28,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
5.365000000000001,0.13956116,170.4764,3435.528,28,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
14.1,0.126035694,86.4198,1133.8574,11,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
7.55,0.027164679,152.334,2603.278,9,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
13.0,0.099325278,45.40600000000001,605.878,16,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
9.3,0.04357366,192.8846,2293.0152,28,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
17.6,0.082741482,118.7782,119.1782,28,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
12.3,0.064565202,92.9804,1929.4884,26,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
7.05,0.08455456900000001,109.8912,2074.6328,28,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
11.8,0.058451805,79.9618,241.6854,28,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
17.25,0.113748685,251.3724,6795.1548,11,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
